velocidad_bala,distancia,bala_y,accion
-6.0,946.0,-35.0,1
-6.0,940.0,-35.0,1
-6.0,934.0,-35.0,1
-6.0,928.0,-35.0,0
-6.0,922.0,-35.0,0
-6.0,916.0,-35.0,0
-6.0,910.0,-35.0,0
-6.0,904.0,-35.0,0
-6.0,898.0,-35.0,0
-6.0,892.0,-35.0,0
-6.0,886.0,-35.0,0
-6.0,880.0,-35.0,0
-6.0,874.0,-35.0,0
-6.0,868.0,-35.0,0
-6.0,862.0,-35.0,0
-6.0,856.0,-35.0,0
-6.0,850.0,-35.0,0
-6.0,844.0,-35.0,0
-6.0,838.0,-35.0,0
-6.0,832.0,-35.0,0
-6.0,826.0,-35.0,0
-6.0,820.0,-35.0,0
-6.0,814.0,-35.0,0
-6.0,808.0,-35.0,0
-6.0,802.0,-35.0,0
-6.0,796.0,-35.0,0
-6.0,790.0,-35.0,0
-6.0,784.0,-35.0,0
-6.0,778.0,-35.0,0
-6.0,772.0,-35.0,0
-6.0,766.0,-35.0,0
-6.0,760.0,-35.0,0
-6.0,754.0,-35.0,0
-6.0,748.0,-35.0,0
-6.0,742.0,-35.0,0
-6.0,736.0,-35.0,0
-6.0,730.0,-35.0,0
-6.0,724.0,-35.0,0
-6.0,718.0,-35.0,0
-6.0,712.0,-35.0,0
-6.0,706.0,-35.0,0
-6.0,700.0,-35.0,0
-6.0,694.0,-35.0,0
-6.0,688.0,-35.0,0
-6.0,682.0,-35.0,0
-6.0,676.0,-35.0,0
-6.0,670.0,-35.0,0
-6.0,664.0,-35.0,0
-6.0,658.0,-35.0,0
-6.0,652.0,-35.0,0
-6.0,646.0,-35.0,0
-6.0,640.0,-35.0,0
-6.0,634.0,-35.0,0
-6.0,628.0,-35.0,0
-6.0,622.0,-35.0,0
-6.0,616.0,-35.0,0
-6.0,610.0,-35.0,0
-6.0,604.0,-35.0,0
-6.0,598.0,-35.0,0
-6.0,592.0,-35.0,0
-6.0,586.0,-35.0,0
-6.0,580.0,-35.0,0
-6.0,574.0,-35.0,0
-6.0,568.0,-35.0,0
-6.0,562.0,-35.0,0
-6.0,556.0,-35.0,0
-6.0,550.0,-35.0,0
-6.0,544.0,-35.0,0
-6.0,538.0,-35.0,0
-6.0,532.0,-35.0,0
-6.0,526.0,-35.0,0
-6.0,520.0,-35.0,0
-6.0,514.0,-35.0,0
-6.0,508.0,-35.0,0
-6.0,502.0,-35.0,0
-6.0,496.0,-35.0,0
-6.0,490.0,-35.0,0
-6.0,484.0,-35.0,0
-6.0,478.0,-35.0,0
-6.0,472.0,-35.0,0
-6.0,466.0,-35.0,0
-6.0,460.0,-35.0,0
-6.0,454.0,-35.0,0
-6.0,448.0,-35.0,0
-6.0,442.0,-35.0,0
-6.0,436.0,-35.0,0
-6.0,430.0,-35.0,0
-6.0,424.0,-35.0,0
-6.0,418.0,-35.0,0
-6.0,412.0,-35.0,0
-6.0,406.0,-35.0,0
-6.0,400.0,-35.0,0
-6.0,394.0,-35.0,0
-6.0,388.0,-35.0,0
-6.0,382.0,-35.0,0
-6.0,376.0,-35.0,0
-6.0,370.0,-35.0,0
-6.0,364.0,-35.0,0
-6.0,358.0,-35.0,0
-6.0,352.0,-35.0,0
-6.0,346.0,-35.0,0
-6.0,340.0,-35.0,0
-6.0,334.0,-35.0,0
-6.0,328.0,-35.0,0
-6.0,322.0,-35.0,0
-6.0,316.0,-35.0,0
-6.0,310.0,-35.0,0
-6.0,304.0,-35.0,0
-6.0,298.0,-35.0,0
-6.0,292.0,-35.0,0
-6.0,286.0,-35.0,0
-6.0,280.0,-35.0,0
-6.0,274.0,-35.0,0
-6.0,268.0,-35.0,0
-6.0,262.0,-35.0,0
-6.0,256.0,-35.0,0
-6.0,250.0,-35.0,0
-6.0,244.0,-35.0,0
-6.0,238.0,-35.0,0
-6.0,232.0,-35.0,0
-6.0,226.0,-35.0,0
-6.0,220.0,-35.0,0
-6.0,214.0,-35.0,0
-6.0,208.0,-35.0,0
-6.0,202.0,-35.0,0
-6.0,196.0,-35.0,0
-6.0,190.0,-35.0,0
-6.0,184.0,-35.0,0
-6.0,178.0,-35.0,0
-6.0,172.0,-35.0,0
-6.0,166.0,-35.0,0
-6.0,160.0,-35.0,0
-6.0,154.0,-35.0,0
-6.0,148.0,-35.0,0
-6.0,142.0,-35.0,0
-6.0,136.0,-35.0,0
-6.0,130.0,-35.0,0
-6.0,124.0,-35.0,0
-6.0,118.0,-35.0,0
-6.0,112.0,-35.0,0
-6.0,106.0,-35.0,0
-6.0,100.0,-35.0,1
-6.0,94.0,-35.0,1
-6.0,88.0,-35.0,1
-6.0,82.0,-35.0,1
-6.0,76.0,-35.0,1
-6.0,70.0,-35.0,1
-6.0,64.0,-35.0,1
-6.0,58.0,-35.0,1
-6.0,52.0,-35.0,1
-6.0,46.0,-35.0,1
-6.0,40.0,-35.0,1
-6.0,34.0,-35.0,1
-6.0,28.0,-35.0,1
-6.0,22.0,-35.0,1
-6.0,16.0,-35.0,1
-6.0,10.0,-35.0,1
-6.0,4.0,-35.0,1
-6.0,2.0,-35.0,1
-6.0,8.0,-35.0,1
-6.0,14.0,-35.0,1
-6.0,20.0,-35.0,1
-6.0,26.0,-35.0,1
-6.0,32.0,-35.0,1
-6.0,38.0,-35.0,1
-6.0,44.0,-35.0,1
-6.0,50.0,-35.0,1
-6.0,56.0,-35.0,1
-6.0,62.0,-35.0,1
-6.0,68.0,-35.0,1
-8.0,962.0,-35.0,1
-8.0,954.0,-35.0,1
-8.0,946.0,-35.0,0
-8.0,938.0,-35.0,0
-8.0,930.0,-35.0,0
-8.0,922.0,-35.0,0
-8.0,914.0,-35.0,0
-8.0,906.0,-35.0,0
-8.0,898.0,-35.0,0
-8.0,890.0,-35.0,0
-8.0,882.0,-35.0,0
-8.0,874.0,-35.0,0
-8.0,866.0,-35.0,0
-8.0,858.0,-35.0,0
-8.0,850.0,-35.0,0
-8.0,842.0,-35.0,0
-8.0,834.0,-35.0,0
-8.0,826.0,-35.0,0
-8.0,818.0,-35.0,0
-8.0,810.0,-35.0,0
-8.0,802.0,-35.0,0
-8.0,794.0,-35.0,0
-8.0,786.0,-35.0,0
-8.0,778.0,-35.0,0
-8.0,770.0,-35.0,0
-8.0,762.0,-35.0,0
-8.0,754.0,-35.0,0
-8.0,746.0,-35.0,0
-8.0,738.0,-35.0,0
-8.0,730.0,-35.0,0
-8.0,722.0,-35.0,0
-8.0,714.0,-35.0,0
-8.0,706.0,-35.0,0
-8.0,698.0,-35.0,0
-8.0,690.0,-35.0,0
-8.0,682.0,-35.0,0
-8.0,674.0,-35.0,0
-8.0,666.0,-35.0,0
-8.0,658.0,-35.0,0
-8.0,650.0,-35.0,0
-8.0,642.0,-35.0,0
-8.0,634.0,-35.0,0
-8.0,626.0,-35.0,0
-8.0,618.0,-35.0,0
-8.0,610.0,-35.0,0
-8.0,602.0,-35.0,0
-8.0,594.0,-35.0,0
-8.0,586.0,-35.0,0
-8.0,578.0,-35.0,0
-8.0,570.0,-35.0,0
-8.0,562.0,-35.0,0
-8.0,554.0,-35.0,0
-8.0,546.0,-35.0,0
-8.0,538.0,-35.0,0
-8.0,530.0,-35.0,0
-8.0,522.0,-35.0,0
-8.0,514.0,-35.0,0
-8.0,506.0,-35.0,0
-8.0,498.0,-35.0,0
-8.0,490.0,-35.0,0
-8.0,482.0,-35.0,0
-8.0,474.0,-35.0,0
-8.0,466.0,-35.0,0
-8.0,458.0,-35.0,0
-8.0,450.0,-35.0,0
-8.0,442.0,-35.0,0
-8.0,434.0,-35.0,0
-8.0,426.0,-35.0,0
-8.0,418.0,-35.0,0
-8.0,410.0,-35.0,0
-8.0,402.0,-35.0,0
-8.0,394.0,-35.0,0
-8.0,386.0,-35.0,0
-8.0,378.0,-35.0,0
-8.0,370.0,-35.0,0
-8.0,362.0,-35.0,0
-8.0,354.0,-35.0,0
-8.0,346.0,-35.0,0
-8.0,338.0,-35.0,0
-8.0,330.0,-35.0,0
-8.0,322.0,-35.0,0
-8.0,314.0,-35.0,0
-8.0,306.0,-35.0,0
-8.0,298.0,-35.0,0
-8.0,290.0,-35.0,0
-8.0,282.0,-35.0,0
-8.0,274.0,-35.0,0
-8.0,266.0,-35.0,0
-8.0,258.0,-35.0,0
-8.0,250.0,-35.0,0
-8.0,242.0,-35.0,0
-8.0,234.0,-35.0,0
-8.0,226.0,-35.0,0
-8.0,218.0,-35.0,0
-8.0,210.0,-35.0,0
-8.0,202.0,-35.0,0
-8.0,194.0,-35.0,0
-8.0,186.0,-35.0,0
-8.0,178.0,-35.0,0
-8.0,170.0,-35.0,0
-8.0,162.0,-35.0,1
-8.0,154.0,-35.0,1
-8.0,146.0,-35.0,1
-8.0,138.0,-35.0,1
-8.0,130.0,-35.0,1
-8.0,122.0,-35.0,1
-8.0,114.0,-35.0,1
-8.0,106.0,-35.0,1
-8.0,98.0,-35.0,1
-8.0,90.0,-35.0,1
-8.0,82.0,-35.0,1
-8.0,74.0,-35.0,1
-8.0,66.0,-35.0,1
-8.0,58.0,-35.0,1
-8.0,50.0,-35.0,1
-8.0,42.0,-35.0,1
-8.0,34.0,-35.0,1
-8.0,26.0,-35.0,1
-8.0,18.0,-35.0,1
-8.0,10.0,-35.0,1
-8.0,2.0,-35.0,1
-8.0,6.0,-35.0,1
-8.0,14.0,-35.0,1
-8.0,22.0,-35.0,1
-8.0,30.0,-35.0,1
-8.0,38.0,-35.0,1
-8.0,46.0,-35.0,1
-8.0,54.0,-35.0,1
-8.0,62.0,-35.0,1
-8.0,70.0,-35.0,1
-13.0,957.0,-9.0,1
-13.0,944.0,-9.0,0
-13.0,931.0,-9.0,0
-13.0,918.0,-9.0,0
-13.0,905.0,-9.0,0
-13.0,892.0,-9.0,0
-13.0,879.0,-9.0,0
-13.0,866.0,-9.0,0
-13.0,853.0,-9.0,0
-13.0,840.0,-9.0,0
-13.0,827.0,-9.0,0
-13.0,814.0,-9.0,0
-13.0,801.0,-9.0,0
-13.0,788.0,-9.0,0
-13.0,775.0,-9.0,0
-13.0,762.0,-9.0,0
-13.0,749.0,-9.0,0
-13.0,736.0,-9.0,0
-13.0,723.0,-9.0,0
-13.0,710.0,-9.0,0
-13.0,697.0,-9.0,0
-13.0,684.0,-9.0,0
-13.0,671.0,-9.0,0
-13.0,658.0,-9.0,0
-13.0,645.0,-9.0,0
-13.0,632.0,-9.0,0
-13.0,619.0,-9.0,0
-13.0,606.0,-9.0,0
-13.0,593.0,-9.0,0
-13.0,580.0,-9.0,0
-13.0,567.0,-9.0,0
-13.0,554.0,-9.0,0
-13.0,541.0,-9.0,0
-13.0,528.0,-9.0,0
-13.0,515.0,-9.0,0
-13.0,502.0,-9.0,0
-13.0,489.0,-9.0,0
-13.0,476.0,-9.0,0
-13.0,463.0,-9.0,0
-13.0,450.0,-9.0,0
-13.0,437.0,-9.0,0
-13.0,424.0,-9.0,0
-13.0,411.0,-9.0,0
-13.0,398.0,-9.0,0
-13.0,385.0,-9.0,0
-13.0,372.0,-9.0,0
-13.0,359.0,-9.0,0
-13.0,346.0,-9.0,0
-13.0,333.0,-9.0,0
-13.0,320.0,-9.0,0
-13.0,307.0,-9.0,0
-13.0,294.0,-9.0,0
-13.0,281.0,-9.0,0
-13.0,268.0,-9.0,0
-13.0,255.0,-9.0,0
-13.0,242.0,-9.0,0
-13.0,229.0,-9.0,0
-13.0,216.0,-9.0,0
-13.0,203.0,-9.0,0
-13.0,190.0,-9.0,0
-13.0,177.0,-9.0,2
-13.0,164.0,-9.0,2
-13.0,151.0,-9.0,2
-13.0,138.0,-9.0,2
-13.0,125.0,-9.0,2
-13.0,112.0,-9.0,2
-13.0,99.0,-9.0,2
-13.0,86.0,-9.0,2
-13.0,73.0,-9.0,2
-13.0,60.0,-9.0,2
-13.0,47.0,-9.0,2
-13.0,34.0,-9.0,2
-13.0,21.0,-9.0,2
-13.0,8.0,-9.0,2
-13.0,5.0,-9.0,2
-13.0,18.0,-9.0,2
-13.0,31.0,-9.0,0
-13.0,44.0,-9.0,0
-13.0,57.0,-9.0,0
-13.0,70.0,-9.0,0
-12.0,958.0,-35.0,0
-12.0,946.0,-35.0,0
-12.0,934.0,-35.0,0
-12.0,922.0,-35.0,0
-12.0,910.0,-35.0,0
-12.0,898.0,-35.0,0
-12.0,886.0,-35.0,0
-12.0,874.0,-35.0,0
-12.0,862.0,-35.0,0
-12.0,850.0,-35.0,0
-12.0,838.0,-35.0,0
-12.0,826.0,-35.0,0
-12.0,814.0,-35.0,0
-12.0,802.0,-35.0,0
-12.0,790.0,-35.0,0
-12.0,778.0,-35.0,0
-12.0,766.0,-35.0,0
-12.0,754.0,-35.0,0
-12.0,742.0,-35.0,0
-12.0,730.0,-35.0,0
-12.0,718.0,-35.0,0
-12.0,706.0,-35.0,0
-12.0,694.0,-35.0,0
-12.0,682.0,-35.0,0
-12.0,670.0,-35.0,0
-12.0,658.0,-35.0,0
-12.0,646.0,-35.0,0
-12.0,634.0,-35.0,0
-12.0,622.0,-35.0,0
-12.0,610.0,-35.0,0
-12.0,598.0,-35.0,0
-12.0,586.0,-35.0,0
-12.0,574.0,-35.0,0
-12.0,562.0,-35.0,0
-12.0,550.0,-35.0,0
-12.0,538.0,-35.0,0
-12.0,526.0,-35.0,0
-12.0,514.0,-35.0,0
-12.0,502.0,-35.0,0
-12.0,490.0,-35.0,0
-12.0,478.0,-35.0,0
-12.0,466.0,-35.0,0
-12.0,454.0,-35.0,0
-12.0,442.0,-35.0,0
-12.0,430.0,-35.0,0
-12.0,418.0,-35.0,0
-12.0,406.0,-35.0,0
-12.0,394.0,-35.0,0
-12.0,382.0,-35.0,0
-12.0,370.0,-35.0,0
-12.0,358.0,-35.0,0
-12.0,346.0,-35.0,0
-12.0,334.0,-35.0,0
-12.0,322.0,-35.0,0
-12.0,310.0,-35.0,0
-12.0,298.0,-35.0,0
-12.0,286.0,-35.0,0
-12.0,274.0,-35.0,0
-12.0,262.0,-35.0,0
-12.0,250.0,-35.0,0
-12.0,238.0,-35.0,0
-12.0,226.0,-35.0,0
-12.0,214.0,-35.0,0
-12.0,202.0,-35.0,0
-12.0,190.0,-35.0,1
-12.0,178.0,-35.0,1
-12.0,166.0,-35.0,1
-12.0,154.0,-35.0,1
-12.0,142.0,-35.0,1
-12.0,130.0,-35.0,1
-12.0,118.0,-35.0,1
-12.0,106.0,-35.0,1
-12.0,94.0,-35.0,1
-12.0,82.0,-35.0,1
-12.0,70.0,-35.0,1
-12.0,58.0,-35.0,1
-12.0,46.0,-35.0,1
-12.0,34.0,-35.0,1
-12.0,22.0,-35.0,1
-12.0,10.0,-35.0,1
-12.0,2.0,-35.0,1
-12.0,14.0,-35.0,1
-12.0,26.0,-35.0,1
-12.0,38.0,-35.0,1
-12.0,50.0,-35.0,1
-12.0,62.0,-35.0,1
-7.0,963.0,-35.0,1
-7.0,956.0,-35.0,1
-7.0,949.0,-35.0,1
-7.0,942.0,-35.0,1
-7.0,935.0,-35.0,1
-7.0,928.0,-35.0,1
-7.0,921.0,-35.0,1
-7.0,914.0,-35.0,1
-7.0,907.0,-35.0,1
-7.0,900.0,-35.0,0
-7.0,893.0,-35.0,0
-7.0,886.0,-35.0,0
-7.0,879.0,-35.0,0
-7.0,872.0,-35.0,0
-7.0,865.0,-35.0,0
-7.0,858.0,-35.0,0
-7.0,851.0,-35.0,0
-7.0,844.0,-35.0,0
-7.0,837.0,-35.0,0
-7.0,830.0,-35.0,0
-7.0,823.0,-35.0,0
-7.0,816.0,-35.0,0
-7.0,809.0,-35.0,0
-7.0,802.0,-35.0,0
-7.0,795.0,-35.0,0
-7.0,788.0,-35.0,0
-7.0,781.0,-35.0,0
-7.0,774.0,-35.0,0
-7.0,767.0,-35.0,0
-7.0,760.0,-35.0,0
-7.0,753.0,-35.0,0
-7.0,746.0,-35.0,0
-7.0,739.0,-35.0,0
-7.0,732.0,-35.0,0
-7.0,725.0,-35.0,0
-7.0,718.0,-35.0,0
-7.0,711.0,-35.0,0
-7.0,704.0,-35.0,0
-7.0,697.0,-35.0,0
-7.0,690.0,-35.0,0
-7.0,683.0,-35.0,0
-7.0,676.0,-35.0,0
-7.0,669.0,-35.0,0
-7.0,662.0,-35.0,0
-7.0,655.0,-35.0,0
-7.0,648.0,-35.0,0
-7.0,641.0,-35.0,0
-7.0,634.0,-35.0,0
-7.0,627.0,-35.0,0
-7.0,620.0,-35.0,0
-7.0,613.0,-35.0,0
-7.0,606.0,-35.0,0
-7.0,599.0,-35.0,0
-7.0,592.0,-35.0,0
-7.0,585.0,-35.0,0
-7.0,578.0,-35.0,0
-7.0,571.0,-35.0,0
-7.0,564.0,-35.0,0
-7.0,557.0,-35.0,0
-7.0,550.0,-35.0,0
-7.0,543.0,-35.0,0
-7.0,536.0,-35.0,0
-7.0,529.0,-35.0,0
-7.0,522.0,-35.0,0
-7.0,515.0,-35.0,0
-7.0,508.0,-35.0,0
-7.0,501.0,-35.0,0
-7.0,494.0,-35.0,0
-7.0,487.0,-35.0,0
-7.0,480.0,-35.0,0
-7.0,473.0,-35.0,0
-7.0,466.0,-35.0,0
-7.0,459.0,-35.0,0
-7.0,452.0,-35.0,0
-7.0,445.0,-35.0,0
-7.0,438.0,-35.0,0
-7.0,431.0,-35.0,0
-7.0,424.0,-35.0,0
-7.0,417.0,-35.0,0
-7.0,410.0,-35.0,0
-7.0,403.0,-35.0,0
-7.0,396.0,-35.0,0
-7.0,389.0,-35.0,0
-7.0,382.0,-35.0,0
-7.0,375.0,-35.0,0
-7.0,368.0,-35.0,0
-7.0,361.0,-35.0,0
-7.0,354.0,-35.0,0
-7.0,347.0,-35.0,0
-7.0,340.0,-35.0,0
-7.0,333.0,-35.0,0
-7.0,326.0,-35.0,0
-7.0,319.0,-35.0,0
-7.0,312.0,-35.0,0
-7.0,305.0,-35.0,0
-7.0,298.0,-35.0,0
-7.0,291.0,-35.0,0
-7.0,284.0,-35.0,0
-7.0,277.0,-35.0,0
-7.0,270.0,-35.0,0
-7.0,263.0,-35.0,0
-7.0,256.0,-35.0,0
-7.0,249.0,-35.0,0
-7.0,242.0,-35.0,0
-7.0,235.0,-35.0,0
-7.0,228.0,-35.0,0
-7.0,221.0,-35.0,0
-7.0,214.0,-35.0,0
-7.0,207.0,-35.0,0
-7.0,200.0,-35.0,0
-7.0,193.0,-35.0,0
-7.0,186.0,-35.0,0
-7.0,179.0,-35.0,0
-7.0,172.0,-35.0,0
-7.0,165.0,-35.0,0
-7.0,158.0,-35.0,0
-7.0,151.0,-35.0,0
-7.0,144.0,-35.0,0
-7.0,137.0,-35.0,0
-7.0,130.0,-35.0,0
-7.0,123.0,-35.0,0
-7.0,116.0,-35.0,0
-7.0,109.0,-35.0,0
-7.0,102.0,-35.0,0
-7.0,95.0,-35.0,1
-7.0,88.0,-35.0,1
-7.0,81.0,-35.0,1
-7.0,74.0,-35.0,1
-7.0,67.0,-35.0,1
-7.0,60.0,-35.0,1
-7.0,53.0,-35.0,1
-7.0,46.0,-35.0,1
-7.0,39.0,-35.0,1
-7.0,32.0,-35.0,1
-7.0,25.0,-35.0,1
-7.0,18.0,-35.0,1
-7.0,11.0,-35.0,1
-7.0,4.0,-35.0,1
-7.0,3.0,-35.0,1
-7.0,10.0,-35.0,1
-7.0,17.0,-35.0,1
-7.0,24.0,-35.0,1
-7.0,31.0,-35.0,1
-7.0,38.0,-35.0,1
-7.0,45.0,-35.0,1
-7.0,52.0,-35.0,1
-7.0,59.0,-35.0,1
-7.0,66.0,-35.0,1
-11.0,959.0,-9.0,1
-11.0,948.0,-9.0,1
-11.0,937.0,-9.0,1
-11.0,926.0,-9.0,1
-11.0,915.0,-9.0,1
-11.0,904.0,-9.0,1
-11.0,893.0,-9.0,1
-11.0,882.0,-9.0,0
-11.0,871.0,-9.0,0
-11.0,860.0,-9.0,0
-11.0,849.0,-9.0,0
-11.0,838.0,-9.0,0
-11.0,827.0,-9.0,0
-11.0,816.0,-9.0,0
-11.0,805.0,-9.0,0
-11.0,794.0,-9.0,0
-11.0,783.0,-9.0,0
-11.0,772.0,-9.0,0
-11.0,761.0,-9.0,0
-11.0,750.0,-9.0,0
-11.0,739.0,-9.0,0
-11.0,728.0,-9.0,0
-11.0,717.0,-9.0,0
-11.0,706.0,-9.0,0
-11.0,695.0,-9.0,0
-11.0,684.0,-9.0,0
-11.0,673.0,-9.0,0
-11.0,662.0,-9.0,0
-11.0,651.0,-9.0,0
-11.0,640.0,-9.0,0
-11.0,629.0,-9.0,0
-11.0,618.0,-9.0,0
-11.0,607.0,-9.0,0
-11.0,596.0,-9.0,0
-11.0,585.0,-9.0,0
-11.0,574.0,-9.0,0
-11.0,563.0,-9.0,0
-11.0,552.0,-9.0,0
-11.0,541.0,-9.0,0
-11.0,530.0,-9.0,0
-11.0,519.0,-9.0,0
-11.0,508.0,-9.0,0
-11.0,497.0,-9.0,0
-11.0,486.0,-9.0,0
-11.0,475.0,-9.0,0
-11.0,464.0,-9.0,0
-11.0,453.0,-9.0,0
-11.0,442.0,-9.0,0
-11.0,431.0,-9.0,0
-11.0,420.0,-9.0,0
-11.0,409.0,-9.0,0
-11.0,398.0,-9.0,0
-11.0,387.0,-9.0,0
-11.0,376.0,-9.0,0
-11.0,365.0,-9.0,0
-11.0,354.0,-9.0,0
-11.0,343.0,-9.0,0
-11.0,332.0,-9.0,0
-11.0,321.0,-9.0,0
-11.0,310.0,-9.0,0
-11.0,299.0,-9.0,0
-11.0,288.0,-9.0,0
-11.0,277.0,-9.0,0
-11.0,266.0,-9.0,0
-11.0,255.0,-9.0,0
-11.0,244.0,-9.0,0
-11.0,233.0,-9.0,0
-11.0,222.0,-9.0,0
-11.0,211.0,-9.0,2
-11.0,200.0,-9.0,2
-11.0,189.0,-9.0,2
-11.0,178.0,-9.0,2
-11.0,167.0,-9.0,2
-11.0,156.0,-9.0,2
-11.0,145.0,-9.0,2
-11.0,134.0,-9.0,2
-11.0,123.0,-9.0,2
-11.0,112.0,-9.0,2
-11.0,101.0,-9.0,2
-11.0,90.0,-9.0,2
-11.0,79.0,-9.0,2
-11.0,68.0,-9.0,2
-11.0,57.0,-9.0,2
-11.0,46.0,-9.0,2
-11.0,35.0,-9.0,2
-11.0,24.0,-9.0,2
-11.0,13.0,-9.0,2
-11.0,2.0,-9.0,2
-11.0,9.0,-9.0,2
-11.0,20.0,-9.0,2
-11.0,31.0,-9.0,2
-11.0,42.0,-9.0,2
-11.0,53.0,-9.0,2
-11.0,64.0,-9.0,0
-8.0,962.0,77.0,0
-8.0,954.0,77.0,0
-8.0,946.0,77.0,0
-8.0,938.0,77.0,0
-8.0,930.0,77.0,0
-8.0,922.0,77.0,0
-8.0,914.0,77.0,0
-8.0,906.0,77.0,0
-8.0,898.0,77.0,0
-8.0,890.0,77.0,0
-8.0,882.0,77.0,0
-8.0,874.0,77.0,0
-8.0,866.0,77.0,0
-8.0,858.0,77.0,0
-8.0,850.0,77.0,0
-8.0,842.0,77.0,0
-8.0,834.0,77.0,0
-8.0,826.0,77.0,0
-8.0,818.0,77.0,0
-8.0,810.0,77.0,0
-8.0,802.0,77.0,0
-8.0,794.0,77.0,0
-8.0,786.0,77.0,0
-8.0,778.0,77.0,0
-8.0,770.0,77.0,0
-8.0,762.0,77.0,0
-8.0,754.0,77.0,0
-8.0,746.0,77.0,0
-8.0,738.0,77.0,0
-8.0,730.0,77.0,0
-8.0,722.0,77.0,0
-8.0,714.0,77.0,0
-8.0,706.0,77.0,0
-8.0,698.0,77.0,0
-8.0,690.0,77.0,0
-8.0,682.0,77.0,0
-8.0,674.0,77.0,0
-8.0,666.0,77.0,0
-8.0,658.0,77.0,0
-8.0,650.0,77.0,0
-8.0,642.0,77.0,0
-8.0,634.0,77.0,0
-8.0,626.0,77.0,0
-8.0,618.0,77.0,0
-8.0,610.0,77.0,0
-8.0,602.0,77.0,0
-8.0,594.0,77.0,0
-8.0,586.0,77.0,0
-8.0,578.0,77.0,0
-8.0,570.0,77.0,0
-8.0,562.0,77.0,0
-8.0,554.0,77.0,0
-8.0,546.0,77.0,0
-8.0,538.0,77.0,0
-8.0,530.0,77.0,0
-8.0,522.0,77.0,0
-8.0,514.0,77.0,0
-8.0,506.0,77.0,0
-8.0,498.0,77.0,0
-8.0,490.0,77.0,0
-8.0,482.0,77.0,0
-8.0,474.0,77.0,0
-8.0,466.0,77.0,0
-8.0,458.0,77.0,0
-8.0,450.0,77.0,0
-8.0,442.0,77.0,0
-8.0,434.0,77.0,0
-8.0,426.0,77.0,0
-8.0,418.0,77.0,0
-8.0,410.0,77.0,0
-8.0,402.0,77.0,0
-8.0,394.0,77.0,0
-8.0,386.0,77.0,0
-8.0,378.0,77.0,0
-8.0,370.0,77.0,0
-8.0,362.0,77.0,0
-8.0,354.0,77.0,0
-8.0,346.0,77.0,0
-8.0,338.0,77.0,0
-8.0,330.0,77.0,0
-8.0,322.0,77.0,0
-8.0,314.0,77.0,0
-8.0,306.0,77.0,0
-8.0,298.0,77.0,0
-8.0,290.0,77.0,0
-8.0,282.0,77.0,0
-8.0,274.0,77.0,0
-8.0,266.0,77.0,0
-8.0,258.0,77.0,0
-8.0,250.0,77.0,0
-8.0,242.0,77.0,0
-8.0,234.0,77.0,0
-8.0,226.0,77.0,0
-8.0,218.0,77.0,0
-8.0,210.0,77.0,0
-8.0,202.0,77.0,0
-8.0,194.0,77.0,0
-8.0,186.0,77.0,0
